Date,Demand_Avg_MW,Demand_Min_MW,Demand_Max_MW,Demand_Std_MW,Wind_Avg_MW,Solar_Avg_MW,Price_Avg_kWh,Temperature_Avg_C,Rainfall_Total_mm,Year,Month,DayOfWeek,IsWeekend
2025-01-06,33264.291666666664,22304.0,42615.0,7145.245042798129,3580.2083333333335,380.5833333333333,0.2582700021794268,7.550000000000001,1305.6,2025,1,0,0
2025-01-07,35212.895833333336,25312.0,44730.0,6540.833551017021,2792.2916666666665,915.75,0.2582700021794268,7.550000000000001,1305.6,2025,1,1,0
2025-01-08,37574.104166666664,26574.0,45823.0,6893.877540405687,1286.7291666666667,260.9791666666667,0.2582700021794268,7.550000000000001,1305.6,2025,1,2,0
2025-01-09,37397.395833333336,27982.0,45924.0,5972.321608317303,1598.4791666666667,1161.75,0.2582700021794268,7.550000000000001,1305.6,2025,1,3,0
2025-01-10,37982.958333333336,28025.0,45163.0,6074.227799476164,887.8333333333334,812.1458333333334,0.2582700021794268,7.550000000000001,1305.6,2025,1,4,0
2025-01-11,35002.375,27889.0,42824.0,4774.785055315896,610.2708333333334,913.9375,0.2582700021794268,7.550000000000001,1305.6,2025,1,5,1
2025-01-12,33482.229166666664,25597.0,42716.0,5319.517384282566,1661.5,534.0,0.2582700021794268,7.550000000000001,1305.6,2025,1,6,1
2025-01-13,34414.333333333336,23581.0,43111.0,6848.781479859409,3851.4375,477.2291666666667,0.2582700021794268,7.550000000000001,1305.6,2025,1,0,0
2025-01-14,34203.333333333336,24149.0,42759.0,6187.688271224074,1990.4375,580.8541666666666,0.2582700021794268,7.550000000000001,1305.6,2025,1,1,0
2025-01-15,33223.645833333336,23721.0,41196.0,5691.580666995633,1688.5208333333333,647.0833333333334,0.2582700021794268,4.35,3859.2000000000003,2025,1,2,0
2025-01-16,33553.3125,24323.0,41510.0,5708.513709592574,2049.9583333333335,667.3541666666666,0.2582700021794268,4.35,3859.2000000000003,2025,1,3,0
2025-01-17,33305.5,23440.0,40777.0,6061.693394465827,2075.5208333333335,348.8958333333333,0.2582700021794268,4.35,3859.2000000000003,2025,1,4,0
2025-01-18,32157.770833333332,23178.0,40410.0,5553.36479653431,1253.8333333333333,217.375,0.2582700021794268,4.35,3859.2000000000003,2025,1,5,1
2025-01-19,32943.1875,23926.0,42466.0,6182.450855535936,611.0,122.89583333333333,0.2582700021794268,4.35,3859.2000000000003,2025,1,6,1
2025-01-20,35467.125,25010.0,43592.0,6513.749976012281,603.0416666666666,368.4791666666667,0.2582700021794268,4.35,3859.2000000000003,2025,1,0,0
2025-01-21,35305.416666666664,25361.0,43328.0,6006.358683196141,668.7916666666666,530.9791666666666,0.2582700021794268,4.35,3859.2000000000003,2025,1,1,0
2025-01-22,35760.833333333336,25899.0,43153.0,5981.184086618148,225.54166666666666,478.6041666666667,0.2582700021794268,4.35,3859.2000000000003,2025,1,2,0
2025-01-23,34500.875,25487.0,41810.0,5731.640456664054,2485.4583333333335,349.2083333333333,0.2582700021794268,4.35,3859.2000000000003,2025,1,3,0
2025-01-24,30776.708333333332,21282.0,38552.0,5407.03345321484,4399.104166666667,934.4583333333334,0.2582700021794268,4.35,3859.2000000000003,2025,1,4,0
2025-01-25,28926.520833333332,21817.0,37891.0,4707.460728481443,2847.7291666666665,1412.2291666666667,0.2582700021794268,4.35,3859.2000000000003,2025,1,5,1
2025-01-26,30080.229166666668,22301.0,38566.0,5368.582071367035,3721.5625,205.25,0.2582700021794268,4.35,3859.2000000000003,2025,1,6,1
2025-01-27,31941.270833333332,21912.0,40885.0,6066.082067405035,3475.3125,902.625,0.2582700021794268,4.35,3859.2000000000003,2025,1,0,0
2025-01-28,32697.229166666668,22545.0,40243.0,6154.570452680151,2524.9791666666665,386.2291666666667,0.2582700021794268,4.35,3859.2000000000003,2025,1,1,0
2025-01-29,32996.395833333336,23267.0,41984.0,6048.757930315673,2318.9375,923.5,0.2582700021794268,4.35,3859.2000000000003,2025,1,2,0
2025-01-30,32867.041666666664,24375.0,41614.0,5445.586012497051,1764.8333333333333,1707.625,0.2582700021794268,4.35,3859.2000000000003,2025,1,3,0
2025-01-31,33665.583333333336,24280.0,40730.0,5623.740017118664,861.2708333333334,650.875,0.2582700021794268,4.35,3859.2000000000003,2025,1,4,0
2025-02-01,30295.979166666668,22992.0,37974.0,4557.725400827037,1959.0,487.3125,0.2582700021794268,4.35,3859.2000000000003,2025,2,5,1
2025-02-02,28781.1875,21684.0,40240.0,5391.44601317976,2068.9375,1495.0,0.2582700021794268,4.35,3859.2000000000003,2025,2,6,1
2025-02-03,32138.25,22416.0,40227.0,5797.9725528329545,3204.75,790.3958333333334,0.2582700021794268,4.35,3859.2000000000003,2025,2,0,0
2025-02-04,31266.020833333332,21660.0,39323.0,5879.892970112831,4249.6875,494.3958333333333,0.2582700021794268,4.35,3859.2000000000003,2025,2,1,0
2025-02-05,33012.083333333336,23168.0,41638.0,5917.039335980972,1615.0416666666667,1201.1458333333333,0.2582700021794268,4.35,3859.2000000000003,2025,2,2,0
2025-02-06,33655.270833333336,25802.0,41681.0,5090.93573198644,1282.9375,1820.875,0.2582700021794268,4.35,3859.2000000000003,2025,2,3,0
2025-02-07,33651.541666666664,24238.0,41171.0,5769.235997792684,3103.625,353.375,0.2582700021794268,4.35,3859.2000000000003,2025,2,4,0
2025-02-08,32334.666666666668,23754.0,39935.0,5400.0251824997285,1048.0833333333333,193.72916666666666,0.2582700021794268,4.35,3859.2000000000003,2025,2,5,1
2025-02-09,30548.916666666668,22949.0,39880.0,5152.76047410959,1948.4791666666667,397.3541666666667,0.2582700021794268,4.35,3859.2000000000003,2025,2,6,1
2025-02-10,34475.770833333336,22521.0,43256.0,7480.839594020954,3150.0833333333335,207.77083333333334,0.2582700021794268,4.35,3859.2000000000003,2025,2,0,0
2025-02-11,35507.458333333336,24909.0,43349.0,6737.671006658878,2118.1875,136.89583333333334,0.2582700021794268,4.35,3859.2000000000003,2025,2,1,0
2025-02-12,35462.270833333336,24891.0,43312.0,6408.4604741305,1479.5,274.1875,0.2582700021794268,4.35,3859.2000000000003,2025,2,2,0
2025-02-13,35390.041666666664,25685.0,43318.0,6154.180792946332,1389.7708333333333,358.4791666666667,0.2582700021794268,4.35,3859.2000000000003,2025,2,3,0
